Id,Label,modularity_class,eigencentrality,betweenesscentrality,Eccentricity,closnesscentrality,kasus,sumber_data
224,@ama_dewa,0,0,0,4,0.395349,change,#balinotforsale
225,@anaumayadewi,23,0,0,1,1,change,#balinotforsale
226,@andiarsana_,0,0,0,4,0.395349,change,#balinotforsale
227,@anggarajaya2,20,0.003168,17,4,0.395349,change,#balinotforsale
228,@ardanaptra,48,0,0,1,1,change,#balinotforsale
229,@arianapratama,26,0,0,1,1,change,#balinotforsale
230,@asrory_6661,0,0,0,4,0.395349,change,#balinotforsale
231,@athagamo89,0,0,0,1,1,change,#balinotforsale
232,@azep_OSD,49,0,0,1,1,change,#balinotforsale
233,@bigihmalakian,0,0,0,4,0.395349,change,#balinotforsale
234,@bimbim_s,50,0,0,1,1,change,#balinotforsale
235,@bobbyalcoholic,0,0,0,4,0.395349,change,#balinotforsale
236,@briyini,0,0,0,4,0.395349,change,#balinotforsale
237,@bronzengobrain,51,0,0,1,1,change,#balinotforsale
238,@cahyo_melvin,0,0,0,4,0.395349,change,#balinotforsale
239,@chandrapratama_,0,0,0,4,0.395349,change,#balinotforsale
240,@chiiyas_,23,0,0,1,1,change,#balinotforsale
241,@danur__,52,0,0,1,1,change,#balinotforsale
242,@deriorizkyal,53,0,0,1,1,change,#balinotforsale
243,@derrysetiawan31,25,0,0,4,0.422222,change,#balinotforsale
244,@dethu__,54,0,0,1,1,change,#balinotforsale
245,@ekasuryawan30,20,0,0,5,0.295082,change,#balinotforsale
246,@ella_khomsah,0,0,0,4,0.395349,change,#balinotforsale
247,@erulmoncet,2,0,0,4,0.34,change,#balinotforsale
248,@esa_bhaskara,1,0,0,5,0.314815,change,#balinotforsale
249,@ferayanthi,2,0,0,4,0.34,change,#balinotforsale
250,@gekputri_gp,23,0,0,1,1,change,#balinotforsale
251,@ghina_greyson,23,0,0,1,1,change,#balinotforsale
252,@gungkama,55,0,0,1,1,change,#balinotforsale
253,@gustisujaya,2,0,0,4,0.404762,change,#balinotforsale
254,@guztuardana,56,0,0,1,1,change,#balinotforsale
