source,target,value,kasus,sumber_data
3,38,1.2787536009528289,change,web_petisi
4,64,1.2304489213782739,change,web_petisi
4,292,1.255272505103306,change,web_petisi
4,98,1.0791812460476249,change,web_petisi
4,293,1.255272505103306,change,web_petisi
4,294,1.255272505103306,change,web_petisi
11,13,1.255272505103306,change,web_petisi
4,24,0.9030899869919435,change,web_petisi
25,38,1.255272505103306,change,web_petisi
0,65,1.255272505103306,change,web_petisi
4,295,1.2304489213782739,change,web_petisi
66,296,1.2304489213782739,change,web_petisi
12,39,1.2304489213782739,change,web_petisi
2,67,1.2041199826559248,change,web_petisi
3,297,1.2041199826559248,change,web_petisi
4,263,1.2041199826559248,change,web_petisi
39,66,1.0413926851582251,change,web_petisi
25,68,1.2041199826559248,change,web_petisi
69,298,1.2041199826559248,change,web_petisi
4,70,1.2041199826559248,change,web_petisi
4,72,0.6989700043360189,change,web_petisi
4,278,0.6989700043360189,change,web_petisi
4,73,1,change,web_petisi
74,299,1.1760912590556813,change,web_petisi
75,300,1.1760912590556813,change,web_petisi
3,68,1.1760912590556813,change,web_petisi
4,76,1.1139433523068367,change,web_petisi
63,77,1.1760912590556813,change,web_petisi
3,78,1.1139433523068367,change,web_petisi
31,79,1.1760912590556813,change,web_petisi
4,80,1.1760912590556813,change,web_petisi
81,177,0.6989700043360189,change,web_petisi
6,301,1.1760912590556813,change,web_petisi
2,79,1.1760912590556813,change,web_petisi
4,40,1.146128035678238,change,web_petisi
4,85,1.146128035678238,change,web_petisi
56,59,1.146128035678238,change,web_petisi
4,82,0.7781512503836436,change,web_petisi
4,83,1,change,web_petisi
4,61,1.0413926851582251,change,web_petisi
31,302,1.146128035678238,change,web_petisi
84,172,1.146128035678238,change,web_petisi
24,303,1.146128035678238,change,web_petisi
3,25,1.0791812460476249,change,web_petisi
3,40,0.7781512503836436,change,web_petisi
85,188,1.146128035678238,change,web_petisi
86,304,1.146128035678238,change,web_petisi
58,87,1.146128035678238,change,web_petisi
81,283,1.146128035678238,change,web_petisi
13,305,1.146128035678238,change,web_petisi
4,191,1.1139433523068367,change,web_petisi
4,144,0.9030899869919435,change,web_petisi
4,231,0.6989700043360189,change,web_petisi
4,21,0.8450980400142568,change,web_petisi
4,113,1.1139433523068367,change,web_petisi
88,306,1.1139433523068367,change,web_petisi
4,89,0.7781512503836436,change,web_petisi
75,307,1.1139433523068367,change,web_petisi
90,308,1.1139433523068367,change,web_petisi
91,131,1.1139433523068367,change,web_petisi
92,98,0.9030899869919435,change,web_petisi
93,309,1.1139433523068367,change,web_petisi
94,310,1.1139433523068367,change,web_petisi
95,131,1.0791812460476249,change,web_petisi
4,311,1.0791812460476249,change,web_petisi
4,92,1.0413926851582251,change,web_petisi
4,215,0.7781512503836436,change,web_petisi
26,312,1.0791812460476249,change,web_petisi
96,124,1.0791812460476249,change,web_petisi
3,15,1.0791812460476249,change,web_petisi
4,97,1.0791812460476249,change,web_petisi
4,17,1.0791812460476249,change,web_petisi
18,100,1.0791812460476249,change,web_petisi
8,172,1.0791812460476249,change,web_petisi
3,34,1.0791812460476249,change,web_petisi
5,302,1.0791812460476249,change,web_petisi
2,101,1.0791812460476249,change,web_petisi
102,305,1.0791812460476249,change,web_petisi
4,103,1.0791812460476249,change,web_petisi
4,41,1.0413926851582251,change,web_petisi
39,104,1.0413926851582251,change,web_petisi
104,253,1.0413926851582251,change,web_petisi
105,313,1.0413926851582251,change,web_petisi
75,106,1.0413926851582251,change,web_petisi
3,54,1.0413926851582251,change,web_petisi
