topic,term,beta,sumber_data,kasus
4,gojek bantu,0.0016897176619676448,playsotore_customer,gojek
4,kustomer service,0.001575618276726753,playsotore_customer,gojek
4,unable process,0.0015710106086358655,playsotore_customer,gojek
4,mohon diperbaiki,0.0015164265684781818,playsotore_customer,gojek
4,app helpful,0.0014880838932890528,playsotore_customer,gojek
4,posisi driver,0.0014769351036599617,playsotore_customer,gojek
4,fitur chat,0.0012859262995592268,playsotore_customer,gojek
4,terima kasih,0.001262831399102719,playsotore_customer,gojek
4,pakai gopay,0.0011458050303889086,playsotore_customer,gojek
4,gojek app,0.001132802495553857,playsotore_customer,gojek
4,application helpful,0.0010504121844844999,playsotore_customer,gojek
1,fitur chat,0.03398593803727709,playsotore_driver,gojek
1,fake gps,0.0111126973415108,playsotore_driver,gojek
1,tambahkan fitur,0.006587539222587263,playsotore_driver,gojek
1,tambahin fitur,0.005573657326065071,playsotore_driver,gojek
1,force close,0.004304754761416118,playsotore_driver,gojek
1,tolong diperbaiki,0.004053872280227764,playsotore_driver,gojek
1,chat app,0.003040404210232574,playsotore_driver,gojek
1,pakai fake,0.00298517799259802,playsotore_driver,gojek
1,orderan sepi,0.0026273630514946334,playsotore_driver,gojek
1,tolong fitur,0.002603421364068374,playsotore_driver,gojek
1,chat chat,0.002533670175193813,playsotore_driver,gojek
1,tolong tambahkan,0.002533670169963725,playsotore_driver,gojek
1,chat kustomer,0.0023921121523323386,playsotore_driver,gojek
1,terima kasih,0.0022997810360846365,playsotore_driver,gojek
1,aplikasi chat,0.002280042524376021,playsotore_driver,gojek
2,orderan masuk,0.007040765066466246,playsotore_driver,gojek
2,anak bangsa,0.006291077524197975,playsotore_driver,gojek
2,karya anak,0.004830793603883574,playsotore_driver,gojek
2,app chat,0.00406765035462335,playsotore_driver,gojek
2,merugikan driver,0.003400347931825274,playsotore_driver,gojek
2,fitur app,0.0032925841833238096,playsotore_driver,gojek
2,tolong diperbaiki,0.0027967753494801215,playsotore_driver,gojek
2,fitur chatnya,0.002759326057130167,playsotore_driver,gojek
2,driver kustomer,0.002732088597391372,playsotore_driver,gojek
2,chat driver,0.0024491031849222843,playsotore_driver,gojek
2,driver gojek,0.002334817183088276,playsotore_driver,gojek
2,fake gps,0.00232384604030759,playsotore_driver,gojek
2,koneksi internet,0.0022882707395493686,playsotore_driver,gojek
2,update versi,0.002270190664858617,playsotore_driver,gojek
2,performa turun,0.0020340184359677266,playsotore_driver,gojek
3,tolong perbaiki,0.005352952986148508,playsotore_driver,gojek
3,driver gojek,0.004649444374051141,playsotore_driver,gojek
3,pt gojek,0.004435439655590269,playsotore_driver,gojek
3,aplikasi gojek,0.0036533919164460425,playsotore_driver,gojek
3,aplikasi error,0.0033921391063262275,playsotore_driver,gojek
3,orderan masuk,0.003251535668673938,playsotore_driver,gojek
3,gojek indonesia,0.0031285865235713287,playsotore_driver,gojek
3,gojek driver,0.002784365362438072,playsotore_driver,gojek
3,aplikasi bagus,0.0026095656546037856,playsotore_driver,gojek
3,versi terbaru,0.0023486090891724843,playsotore_driver,gojek
3,anak bangsa,0.0020876525236473054,playsotore_driver,gojek
3,driver driver,0.0020835135128110228,playsotore_driver,gojek
3,tolong gojek,0.002082011650943707,playsotore_driver,gojek
