kasus,sumber_data,term,value,eksplorasi,topic
change,twitter,nasi butuh,0.00680954326269145,topicmodelling,3
change,twitter,masyarakat bali,0.006740699058876273,topicmodelling,3
change,twitter,subsidi petani,0.006730820219192127,topicmodelling,3
change,twitter,bangun bali,0.006056912296754322,topicmodelling,3
change,twitter,bali subsidi,0.0056286976102015995,topicmodelling,3
change,twitter,petani makan,0.0055893360884519405,topicmodelling,3
change,twitter,alam menang,0.005342362915879108,topicmodelling,3
change,twitter,mesin diredam,0.0043297673924627715,topicmodelling,3
change,twitter,twentyone juli,0.004251031552166711,topicmodelling,3
change,twitter,diredam alam,0.004132959783714461,topicmodelling,3
change,twitter,junjungan ubud,0.004014875218465476,topicmodelling,3
change,twitter,lepas tangan,0.003936152174966156,topicmodelling,3
change,twitter,peduli bali,0.008071125833981275,topicmodelling,4
change,twitter,kompas tv,0.006297853534441973,topicmodelling,4
change,twitter,selamatkan bali,0.004949275275554555,topicmodelling,4
change,twitter,jakarta peduli,0.004758918534187075,topicmodelling,4
change,twitter,bali edukasi,0.004682775837640078,topicmodelling,4
change,twitter,save bali,0.004644704489050267,topicmodelling,4
change,twitter,edukasi suara,0.004340133703178612,topicmodelling,4
change,twitter,alam indonesia,0.004225919640638855,topicmodelling,4
change,twitter,bali reklamasi,0.004149776961811127,topicmodelling,4
change,twitter,suara pemerintah,0.004035562916990637,topicmodelling,4
change,twitter,jam sore,0.003227989772205883,topicmodelling,4
change,twitter,pakai baju,0.0031952319823034384,topicmodelling,4
change,twitter,isi petisi,0.0024746376377772707,topicmodelling,4
change,twitter,kepalkan tangan,0.002360423592954594,topicmodelling,4
change,twitter,bali milik,0.002322352244679703,topicmodelling,4
change,twitter,konser mini,0.012440857571155508,topicmodelling,5
change,twitter,padang galak,0.01014293343400689,topicmodelling,5
change,twitter,pantai padang,0.005703007855347271,topicmodelling,5
change,twitter,musisi bali,0.004133723814614097,topicmodelling,5
change,twitter,gubernur bali,0.0031059556958390813,topicmodelling,5
change,twitter,lawan tenggelam,0.002908916758432165,topicmodelling,5
change,twitter,ayo bergerak,0.002734293396244174,topicmodelling,5
change,twitter,ayo bantu,0.0026409902148883525,topicmodelling,5
change,twitter,tanah kelahiran,0.002570877801347574,topicmodelling,5
change,twitter,istana negara,0.002487889332757819,topicmodelling,5
change,twitter,kawan ayo,0.0024496141123639273,topicmodelling,5
change,twitter,hujani akun,0.002258238009835497,topicmodelling,5
change,twitter,kawan kawan,0.0021965226128139474,topicmodelling,5
change,twitter,akun hashtag,0.002181687568824124,topicmodelling,5
change,twitter,bali rumah,0.002181687568824124,topicmodelling,5
change,twitter,selamat pagi,0.013768498067182833,topicmodelling,6
change,twitter,investor rakus,0.007165939754884061,topicmodelling,6
change,twitter,turun jalan,0.006504256074142947,topicmodelling,6
change,twitter,selamat raya,0.003602979860884274,topicmodelling,6
change,twitter,hati nurani,0.003526320518744219,topicmodelling,6
change,twitter,aksi damai,0.0035262232591520472,topicmodelling,6
change,twitter,teman teman,0.003459362358623454,topicmodelling,6
change,twitter,kantor gubernur,0.0033344806798755464,topicmodelling,6
change,twitter,tanah anarki,0.0029897066930741852,topicmodelling,6
change,twitter,lady rose,0.0026447405361810106,topicmodelling,6
change,twitter,sunset tanah,0.0024530926712403563,topicmodelling,6
change,twitter,gubernur bali,0.002445549913662465,topicmodelling,6
change,twitter,bumi pertiwi,0.0023764335175624606,topicmodelling,6
change,twitter,kawan bali,0.0023381039504252084,topicmodelling,6
change,twitter,kawan kawan,0.001928567927924001,topicmodelling,6
change,twitter,limasatu bjad,0.017494208584604223,topicmodelling,7
change,twitter,perpres limasatu,0.015064457392298069,topicmodelling,7
change,twitter,dprd bali,0.009756385523968177,topicmodelling,7
change,twitter,batalkan perpres,0.009195673743189392,topicmodelling,7
change,twitter,superman dead,0.008747104292290418,topicmodelling,7
change,twitter,kantor dprd,0.00713973042662266,topicmodelling,7
change,twitter,penguasa pengusaha,0.0066537801881614315,topicmodelling,7
change,twitter,bali berperang,0.005756641286386859,topicmodelling,7
change,twitter,anak cucu,0.004929050369505635,topicmodelling,7
change,twitter,svara bumi,0.004560456084020758,topicmodelling,7
change,twitter,konser svara,0.004523075296446817,topicmodelling,7
change,twitter,revitalisasi teluk,0.003812840332541943,topicmodelling,7
change,twitter,tolong bantu,0.003812840332541943,topicmodelling,7
change,twitter,indonesia bali,0.003513794031950419,topicmodelling,7
change,twitter,pengusaha komisi,0.003513794031950419,topicmodelling,7
change,twitter,tolak reklamasi,0.05401660366056466,topicmodelling,8
change,twitter,bali tolak,0.032299081738367263,topicmodelling,8
change,twitter,sayang bali,0.012098022448093219,topicmodelling,8
change,twitter,warga bali,0.010703546129215884,topicmodelling,8
change,twitter,cinta bali,0.009196004602285262,topicmodelling,8
change,twitter,bangun bali,0.007240759994492385,topicmodelling,8
change,twitter,bali ayo,0.005163330452923934,topicmodelling,8
change,twitter,tolak dibohongi,0.004786445018404482,topicmodelling,8
change,twitter,anak negeri,0.004598002301144465,topicmodelling,8
change,twitter,rusak bumi,0.00425880541007643,topicmodelling,8
change,twitter,bumi anak,0.004108051236268413,topicmodelling,8
change,twitter,selamat ulang,0.0038819199737458116,topicmodelling,8
change,twitter,bali cinta,0.0035804116273821674,topicmodelling,8
change,twitter,terima kasih,0.0031140197142865682,topicmodelling,8
change,twitter,konser mini,0.003070198322963731,topicmodelling,8
change,twitter,pulau bali,0.009070783916327107,topicmodelling,9
change,twitter,terima kasih,0.008018131424226568,topicmodelling,9
change,twitter,alam menang,0.005366436058080891,topicmodelling,9
change,twitter,selamat berjuang,0.005274667656493449,topicmodelling,9
change,twitter,bali sale,0.00402299425906879,topicmodelling,9
change,twitter,berjuang kawan,0.003567605479969516,topicmodelling,9
change,twitter,bali pulau,0.003318828498193882,topicmodelling,9
change,twitter,ami award,0.0033019327351749795,topicmodelling,9
change,twitter,selamat pagi,0.0032938314757539797,topicmodelling,9
change,twitter,supir truk,0.0030440780964494344,topicmodelling,9
change,twitter,selamat malam,0.002661982969198237,topicmodelling,9
change,twitter,melawan penguasa,0.0026187742375870997,topicmodelling,9
change,twitter,pro reklamasi,0.0025438815038938785,topicmodelling,9
change,twitter,bali selatan,0.0024921825653848755,topicmodelling,9
change,twitter,polda bali,0.0022771949889412277,topicmodelling,9
change,twitter,alam bali,0.02118093722993727,topicmodelling,10
change,twitter,metro tv,0.016693309989322818,topicmodelling,10
change,twitter,publicity stunt,0.004994995289263169,topicmodelling,10
change,twitter,rusak alam,0.004812148446596604,topicmodelling,10
change,twitter,bali indonesia,0.00452101763407622,topicmodelling,10
change,twitter,jam wib,0.004250902623540792,topicmodelling,10
change,twitter,anak muda,0.003957064354379959,topicmodelling,10
change,twitter,selamatkan alam,0.0038282804001625805,topicmodelling,10
change,twitter,tv liputan,0.0037918212414844487,topicmodelling,10
change,twitter,bali rusak,0.0034272230451878674,topicmodelling,10
change,twitter,parade budaya,0.0031306599400403837,topicmodelling,10
change,twitter,orang bali,0.0030630463089181504,topicmodelling,10
change,twitter,main konser,0.0029532453900023123,topicmodelling,10
change,twitter,konser dibayar,0.002625107013335388,topicmodelling,10
